Date,DIS,MSFT
2012-07-02,48.720001220703125,30.559999465942383
2012-07-03,48.59000015258789,30.76000022888184
2012-07-05,48.11000061035156,30.700000762939453
2012-07-06,48.040000915527344,30.190000534057617
2012-07-09,48.0,30.0
2012-07-10,47.36000061035156,29.739999771118164
2012-07-11,47.27000045776367,29.299999237060547
2012-07-12,47.40999984741211,28.6299991607666
2012-07-13,48.18999862670898,29.38999938964844
2012-07-16,47.86000061035156,29.440000534057617
2012-07-17,49.34999847412109,29.65999984741211
2012-07-18,49.34999847412109,30.450000762939453
2012-07-19,48.9900016784668,30.670000076293945
2012-07-20,48.59000015258789,30.1200008392334
2012-07-23,47.97999954223633,29.280000686645508
2012-07-24,48.15999984741211,29.14999961853028
2012-07-25,48.29999923706055,28.82999992370605
2012-07-26,49.709999084472656,29.15999984741211
2012-07-27,49.93999862670898,29.76000022888184
2012-07-30,49.79999923706055,29.63999938964844
2012-07-31,49.13999938964844,29.46999931335449
2012-08-01,48.81999969482422,29.40999984741211
2012-08-02,48.97999954223633,29.190000534057617
2012-08-03,49.77000045776367,29.75
2012-08-06,49.650001525878906,29.950000762939453
2012-08-07,49.810001373291016,30.26000022888184
2012-08-08,50.4900016784668,30.32999992370605
2012-08-09,49.959999084472656,30.5
2012-08-10,49.650001525878906,30.420000076293945
2012-08-13,49.86000061035156,30.38999938964844
2012-08-14,49.68999862670898,30.1299991607666
2012-08-15,49.88999938964844,30.200000762939453
2012-08-16,50.25,30.780000686645508
2012-08-17,50.459999084472656,30.89999961853028
2012-08-20,50.45000076293945,30.739999771118164
2012-08-21,49.63999938964844,30.799999237060547
2012-08-22,49.65999984741211,30.540000915527344
2012-08-23,49.16999816894531,30.26000022888184
2012-08-24,49.560001373291016,30.559999465942383
2012-08-27,49.630001068115234,30.690000534057617
2012-08-28,49.630001068115234,30.6299991607666
2012-08-29,50.040000915527344,30.64999961853028
2012-08-30,49.41999816894531,30.31999969482422
2012-08-31,49.470001220703125,30.81999969482422
2012-09-04,49.65999984741211,30.38999938964844
2012-09-05,50.790000915527344,30.38999938964844
2012-09-06,51.86000061035156,31.350000381469727
2012-09-07,51.7400016784668,30.950000762939453
2012-09-10,51.52000045776367,30.71999931335449
2012-09-11,51.560001373291016,30.790000915527344
2012-09-12,51.70000076293945,30.780000686645508
2012-09-13,52.59999847412109,30.940000534057617
2012-09-14,52.34999847412109,31.209999084472656
2012-09-17,52.150001525878906,31.209999084472656
2012-09-18,51.900001525878906,31.18000030517578
2012-09-19,52.70000076293945,31.049999237060547
2012-09-20,52.65999984741211,31.450000762939453
2012-09-21,52.7400016784668,31.190000534057617
2012-09-24,52.91999816894531,30.780000686645508
2012-09-25,52.540000915527344,30.38999938964844
2012-09-26,51.93999862670898,30.170000076293945
2012-09-27,52.58000183105469,30.15999984741211
2012-09-28,52.27999877929688,29.76000022888184
2012-10-01,52.06999969482422,29.489999771118164
2012-10-02,51.63999938964844,29.65999984741211
2012-10-03,52.470001220703125,29.86000061035156
2012-10-04,52.630001068115234,30.030000686645508
2012-10-05,52.970001220703125,29.850000381469727
2012-10-08,52.33000183105469,29.780000686645508
2012-10-09,51.5099983215332,29.280000686645508
2012-10-10,51.209999084472656,28.979999542236328
2012-10-11,50.34000015258789,28.950000762939453
2012-10-12,50.59000015258789,29.200000762939453
2012-10-15,50.790000915527344,29.51000022888184
2012-10-16,51.2400016784668,29.489999771118164
2012-10-17,52.290000915527344,29.59000015258789
2012-10-18,52.41999816894531,29.5
2012-10-19,51.900001525878906,28.63999938964844
2012-10-22,51.790000915527344,28.0
2012-10-23,50.7599983215332,28.049999237060547
2012-10-24,50.650001525878906,27.89999961853028
2012-10-25,50.2599983215332,27.8799991607666
2012-10-26,50.08000183105469,28.209999084472656
2012-10-31,49.119998931884766,28.540000915527344
2012-11-01,49.77999877929688,29.520000457763672
2012-11-02,49.86000061035156,29.5
2012-11-05,50.31999969482422,29.6299991607666
2012-11-06,50.470001220703125,29.86000061035156
2012-11-07,50.08000183105469,29.07999992370605
2012-11-08,50.040000915527344,28.809999465942383
2012-11-09,47.060001373291016,28.82999992370605
2012-11-12,47.45000076293945,28.21999931335449
2012-11-13,47.959999084472656,27.09000015258789
2012-11-14,47.16999816894531,26.84000015258789
2012-11-15,47.470001220703125,26.65999984741211
2012-11-16,47.41999816894531,26.520000457763672
2012-11-19,47.90999984741211,26.729999542236328
2012-11-20,48.43999862670898,26.709999084472656
2012-11-21,48.68000030517578,26.950000762939453
2012-11-23,49.2599983215332,27.700000762939453
2012-11-26,49.02999877929688,27.38999938964844
2012-11-27,48.59999847412109,27.07999992370605
2012-11-28,49.20000076293945,27.36000061035156
2012-11-29,49.720001220703125,26.950000762939453
2012-11-30,49.65999984741211,26.6200008392334
2012-12-03,49.290000915527344,26.43000030517578
2012-12-04,49.29999923706055,26.3700008392334
2012-12-05,49.59000015258789,26.670000076293945
2012-12-06,49.060001373291016,26.729999542236328
2012-12-07,49.2400016784668,26.459999084472656
2012-12-10,49.29999923706055,26.940000534057617
2012-12-11,49.47999954223633,27.31999969482422
2012-12-12,49.63999938964844,27.239999771118164
2012-12-13,49.11000061035156,27.11000061035156
2012-12-14,48.66999816894531,26.809999465942383
2012-12-17,49.27999877929688,27.100000381469727
2012-12-18,50.220001220703125,27.559999465942383
2012-12-19,49.93999862670898,27.309999465942383
2012-12-20,50.93000030517578,27.68000030517578
2012-12-21,50.0,27.450000762939453
2012-12-24,49.880001068115234,27.059999465942383
2012-12-26,49.84999847412109,26.86000061035156
